# Y X drop drop_diff a0 a1
3.970588235294117752e+00 0.000000000000000000e+00 1.794210535730307754e+00 1.794210535730307754e+00 5.066010832957571486e-01 2.379142689864418569e-01
4.117647058823529882e+00 0.000000000000000000e+00 1.908330258019474535e+00 1.908330258019474535e+00 5.146736858099374423e-01 2.070127181007240524e-01
4.264705882352941124e+00 0.000000000000000000e+00 2.018778945216324949e+00 2.018778945216324949e+00 5.201191469851691451e-01 1.775308457594594602e-01
4.411764705882353255e+00 0.000000000000000000e+00 2.128408496917342241e+00 2.128408496917342241e+00 5.230930109644189585e-01 1.499087772934467599e-01
4.558823529411764497e+00 0.000000000000000000e+00 2.234068518453355967e+00 2.234068518453355967e+00 5.235091588044885613e-01 1.249423671104631095e-01
4.705882352941176627e+00 0.000000000000000000e+00 2.335412086318819469e+00 2.335412086318819469e+00 5.216537424018071745e-01 1.027329470749461238e-01
4.852941176470588758e+00 0.000000000000000000e+00 2.429536780512938865e+00 2.429536780512938865e+00 5.182968428433889496e-01 8.366394372309554628e-02
5.000000000000000000e+00 0.000000000000000000e+00 2.517644244073112159e+00 2.517644244073112159e+00 5.132413177334914645e-01 6.751430501280603069e-02
0.000000000000000000e+00 1.470588235294117696e-01 1.376557840025290691e+00 1.229499016495879005e+00 1.061799443641765761e-01 2.254164682501933192e-01
1.470588235294117696e-01 1.470588235294117696e-01 1.275153529297494703e+00 1.128094705768083017e+00 1.329878770647417163e-01 2.666459500008934169e-01
2.941176470588235392e-01 1.470588235294117696e-01 1.178534543403243928e+00 1.031475719873832242e+00 1.619448889149822657e-01 3.068326922714892380e-01
4.411764705882352811e-01 1.470588235294117696e-01 1.086135102618788206e+00 9.390762790893764089e-01 1.912553912352697449e-01 3.440221267740500855e-01
5.882352941176470784e-01 1.470588235294117696e-01 1.002613913411582347e+00 8.555550898821705497e-01 2.199684518683047707e-01 3.762283641146371149e-01
7.352941176470588758e-01 1.470588235294117696e-01 9.267397366190947006e-01 7.796809130896829032e-01 2.468700161031310014e-01 4.031487829572506509e-01
8.823529411764705621e-01 1.470588235294117696e-01 8.594155219195602768e-01 7.123566983901484795e-01 2.714421845624536700e-01 4.245767913106878733e-01
1.029411764705882470e+00 1.470588235294117696e-01 8.017359233462901802e-01 6.546770998168783828e-01 2.930349016051174149e-01 4.418623634552151236e-01
1.176470588235294157e+00 1.470588235294117696e-01 7.570322713999051434e-01 6.099734478704933460e-01 3.123558191979238785e-01 4.545652670765495396e-01
1.323529411764705843e+00 1.470588235294117696e-01 7.215372302458862297e-01 5.744784067164744323e-01 3.289650056150144608e-01 4.641803333290276390e-01
1.470588235294117752e+00 1.470588235294117696e-01 6.996089141045005455e-01 5.525500905750887481e-01 3.430449077372866862e-01 4.713357200719684448e-01
1.617647058823529438e+00 1.470588235294117696e-01 6.879946251047306394e-01 5.409358015753188420e-01 3.556491003638012072e-01 4.758023948578780082e-01
1.764705882352941124e+00 1.470588235294117696e-01 6.891765113773460349e-01 5.421176878479342376e-01 3.665785243453785203e-01 4.781570289080980252e-01
1.911764705882353033e+00 1.470588235294117696e-01 7.036714799418177790e-01 5.566126564124059817e-01 3.764190227739764860e-01 4.783880306045342201e-01
2.058823529411764941e+00 1.470588235294117696e-01 7.290651476758289729e-01 5.820063241464171755e-01 3.855262596951684606e-01 4.766692918505111010e-01
2.205882352941176627e+00 1.470588235294117696e-01 7.654479615778624346e-01 6.183891380484506373e-01 3.941595852342100748e-01 4.729748321340265238e-01
2.352941176470588314e+00 1.470588235294117696e-01 8.161069444394180028e-01 6.690481209100062054e-01 4.026445359582446759e-01 4.672425785168969337e-01
2.500000000000000000e+00 1.470588235294117696e-01 8.751006155108613793e-01 7.280417919814495820e-01 4.114515228200749664e-01 4.590329982244004126e-01
2.647058823529411686e+00 1.470588235294117696e-01 9.460327801590856511e-01 7.989739566296738538e-01 4.209550336301625673e-01 4.480482654646719687e-01
2.794117647058823817e+00 1.470588235294117696e-01 1.024879012492027730e+00 8.778201889626159327e-01 4.307953600457491428e-01 4.347677458467105738e-01
2.941176470588235503e+00 1.470588235294117696e-01 1.113017224122993198e+00 9.659584005935814011e-01 4.417379785471455822e-01 4.182218635058876366e-01
3.088235294117647189e+00 1.470588235294117696e-01 1.207393401657580911e+00 1.060334578128169225e+00 4.531246909014093327e-01 3.989665191533373623e-01
3.235294117647058876e+00 1.470588235294117696e-01 1.309697287205875638e+00 1.162638463676463951e+00 4.651048039173114601e-01 3.770332693077078634e-01
3.382352941176470562e+00 1.470588235294117696e-01 1.415735622399764138e+00 1.268676798870352451e+00 4.774948755200630335e-01 3.524876167810548910e-01
3.529411764705882248e+00 1.470588235294117696e-01 1.525211837845932950e+00 1.378153014316521263e+00 4.901128901946640859e-01 3.254441503769703314e-01
3.676470588235294379e+00 1.470588235294117696e-01 1.637812349321562833e+00 1.490753525792151146e+00 5.021574179188902365e-01 2.964062178988164376e-01
3.823529411764706065e+00 1.470588235294117696e-01 1.752586931205472709e+00 1.605528107676061023e+00 5.131493285359831624e-01 2.664536716705158126e-01
3.970588235294117752e+00 1.470588235294117696e-01 1.866517067864849722e+00 1.719458244335438035e+00 5.226983837983176784e-01 2.357821505543649110e-01
4.117647058823529882e+00 1.470588235294117696e-01 1.979515220734519465e+00 1.832456397205107779e+00 5.304885031385586647e-01 2.055427894035435354e-01
4.264705882352941124e+00 1.470588235294117696e-01 2.090145943914400117e+00 1.943087120384988431e+00 5.358499734647615975e-01 1.764937166699355187e-01
4.411764705882353255e+00 1.470588235294117696e-01 2.199391313884988541e+00 2.052332490355576855e+00 5.390125422722710224e-01 1.492940837653904396e-01
4.558823529411764497e+00 1.470588235294117696e-01 2.303287328788045762e+00 2.156228505258634076e+00 5.393528920933825521e-01 1.246683787348856209e-01
4.705882352941176627e+00 1.470588235294117696e-01 2.402474187189593824e+00 2.255415363660182138e+00 5.377792858014689426e-01 1.027250121831932289e-01
4.852941176470588758e+00 1.470588235294117696e-01 2.496722123056918541e+00 2.349663299527506855e+00 5.337675949537750153e-01 8.395265308958660411e-02
5.000000000000000000e+00 1.470588235294117696e-01 2.582986581587526587e+00 2.435927758058114900e+00 5.289480545268409051e-01 6.796772735062932280e-02
0.000000000000000000e+00 2.941176470588235392e-01 1.415326455674876804e+00 1.121208808616053210e+00 1.247817383684933779e-01 2.509118219846277476e-01
1.470588235294117696e-01 2.941176470588235392e-01 1.314653690786998119e+00 1.020536043728174525e+00 1.539651421453130942e-01 2.934754507905090737e-01
2.941176470588235392e-01 2.941176470588235392e-01 1.220143620301585852e+00 9.260259732427622570e-01 1.843156802188334331e-01 3.338557464873823655e-01
4.411764705882352811e-01 2.941176470588235392e-01 1.131524805934386979e+00 8.374071588755633844e-01 2.144921944843595774e-01 3.695846167691286821e-01
5.882352941176470784e-01 2.941176470588235392e-01 1.050078144701301675e+00 7.559604976424780798e-01 2.429231495404882979e-01 3.997093531780065434e-01
7.352941176470588758e-01 2.941176470588235392e-01 9.757587899869638592e-01 6.816411429281403755e-01 2.689184776057875759e-01 4.237153326029141631e-01
8.823529411764705621e-01 2.941176470588235392e-01 9.104335740484641448e-01 6.163159269896405501e-01 2.923323080404788277e-01 4.421792849971789563e-01
1.029411764705882470e+00 2.941176470588235392e-01 8.554902117451685939e-01 5.613725646863449992e-01 3.124370257477785962e-01 4.562545494314307892e-01
1.176470588235294157e+00 2.941176470588235392e-01 8.124810672620670360e-01 5.183634202032434413e-01 3.301533313019234250e-01 4.663943611514295151e-01
1.323529411764705843e+00 2.941176470588235392e-01 7.789662542009394564e-01 4.848486071421159171e-01 3.453859969485415515e-01 4.734741404047950741e-01
1.470588235294117752e+00 2.941176470588235392e-01 7.584545804789426526e-01 4.643369334201191134e-01 3.583121068686945798e-01 4.782293035336970255e-01
1.617647058823529438e+00 2.941176470588235392e-01 7.481021789398649702e-01 4.539845318810414310e-01 3.697990655139726246e-01 4.806100966173773581e-01
1.764705882352941124e+00 2.941176470588235392e-01 7.516628624372447831e-01 4.575452153784212439e-01 3.796270255092183410e-01 4.814295611279114651e-01
1.911764705882353033e+00 2.941176470588235392e-01 7.668345596345480519e-01 4.727169125757245127e-01 3.887576551524068447e-01 4.804328181220010596e-01
2.058823529411764941e+00 2.941176470588235392e-01 7.950617682163805267e-01 5.009441211575569319e-01 3.972206730874679459e-01 4.775146904940809622e-01
2.205882352941176627e+00 2.941176470588235392e-01 8.336522359239317836e-01 5.395345888651081889e-01 4.054283129357383886e-01 4.725214865574369205e-01
2.352941176470588314e+00 2.941176470588235392e-01 8.839409296305442698e-01 5.898232825717206751e-01 4.136572002645088064e-01 4.657980798599582473e-01
2.500000000000000000e+00 2.941176470588235392e-01 9.451813479137222140e-01 6.510637008548987303e-01 4.222858196376512163e-01 4.566699007901046103e-01
2.647058823529411686e+00 2.941176470588235392e-01 1.016432992034803418e+00 7.223153449759798228e-01 4.312891443242397593e-01 4.453300829633911051e-01
2.794117647058823817e+00 2.941176470588235392e-01 1.096123409870195076e+00 8.020057628113714809e-01 4.412294317491709528e-01 4.311968435533977684e-01
2.941176470588235503e+00 2.941176470588235392e-01 1.184577670984279685e+00 8.904600239254560901e-01 4.515483868134848033e-01 4.145540732510205606e-01
3.088235294117647189e+00 2.941176470588235392e-01 1.282162976133748966e+00 9.880453290749253714e-01 4.629514765017383460e-01 3.950221019157885149e-01
3.235294117647058876e+00 2.941176470588235392e-01 1.382342369471201593e+00 1.088224722412377998e+00 4.746274927118069864e-01 3.728750084359722661e-01
3.382352941176470562e+00 2.941176470588235392e-01 1.489798542498270706e+00 1.195680895439447111e+00 4.868356580322684701e-01 3.480762195928844838e-01
3.529411764705882248e+00 2.941176470588235392e-01 1.598839229881872548e+00 1.304721582823048953e+00 4.989187864582266263e-01 3.212063750088273162e-01
3.676470588235294379e+00 2.941176470588235392e-01 1.711547142724816117e+00 1.417429495665992523e+00 5.106427859240600942e-01 2.924168393543898903e-01
3.823529411764706065e+00 2.941176470588235392e-01 1.826289564262746135e+00 1.532171917203922540e+00 5.211417822810802125e-01 2.626784513051823033e-01
3.970588235294117752e+00 2.941176470588235392e-01 1.938734307923881683e+00 1.644616660865058089e+00 5.304628558262735050e-01 2.323433895024062390e-01
4.117647058823529882e+00 2.941176470588235392e-01 2.051021310339800952e+00 1.756903663280977357e+00 5.375129107831836395e-01 2.026040646664256928e-01
4.264705882352941124e+00 2.941176470588235392e-01 2.161837547436093576e+00 1.867719900377269981e+00 5.423378539984488045e-01 1.741403626709332741e-01
4.411764705882353255e+00 2.941176470588235392e-01 2.269275743616103291e+00 1.975158096557279697e+00 5.447923172175693773e-01 1.475082691552693781e-01
4.558823529411764497e+00 2.941176470588235392e-01 2.372751646305646389e+00 2.078633999246823016e+00 5.448370748931780083e-01 1.232767132022852541e-01
4.705882352941176627e+00 2.941176470588235392e-01 2.469895088490265955e+00 2.175777441431442583e+00 5.426474035085931957e-01 1.018356602671586092e-01
4.852941176470588758e+00 2.941176470588235392e-01 2.563348474583171832e+00 2.269230827524348459e+00 5.387725031957402155e-01 8.331912327830559573e-02
5.000000000000000000e+00 2.941176470588235392e-01 2.648101858855418822e+00 2.353984211796595449e+00 5.335302441447996591e-01 6.761295120210138176e-02
0.000000000000000000e+00 4.411764705882352811e-01 1.453924653297455905e+00 1.012748182709220623e+00 1.436721284495492967e-01 2.766416653681723070e-01
1.470588235294117696e-01 4.411764705882352811e-01 1.355999534951435770e+00 9.148230643632004888e-01 1.740721925703446193e-01 3.194084295544110663e-01
2.941176470588235392e-01 4.411764705882352811e-01 1.263426738931733295e+00 8.222502683434980142e-01 2.047776035694416352e-01 3.588724507971597921e-01
4.411764705882352811e-01 4.411764705882352811e-01 1.176027982312767062e+00 7.348515117245317807e-01 2.342649132467496675e-01 3.927332109218887313e-01
5.882352941176470784e-01 4.411764705882352811e-01 1.096578259952976309e+00 6.554017893647410276e-01 2.615661495579802431e-01 4.203090608496119485e-01
7.352941176470588758e-01 4.411764705882352811e-01 1.025133641799166107e+00 5.839571712109308255e-01 2.859946894624446623e-01 4.417489964678536496e-01
8.823529411764705621e-01 4.411764705882352811e-01 9.621677148714454786e-01 5.209912442832101975e-01 3.073721946934752092e-01 4.575635090184365095e-01
1.029411764705882470e+00 4.411764705882352811e-01 9.091505049017327700e-01 4.679740343134974889e-01 3.255727665913922819e-01 4.691660863617446720e-01
1.176470588235294157e+00 4.411764705882352811e-01 8.672317203921986462e-01 4.260552498039633651e-01 3.414428503118671077e-01 4.772707711980256340e-01
1.323529411764705843e+00 4.411764705882352811e-01 8.360264569292903403e-01 3.948499863410550592e-01 3.550841833635597355e-01 4.823015821727257846e-01
1.470588235294117752e+00 4.411764705882352811e-01 8.166848830337865017e-01 3.755084124455512207e-01 3.667177077218621850e-01 4.853063569140054212e-01
1.617647058823529438e+00 4.411764705882352811e-01 8.101152421775337231e-01 3.689387715892984421e-01 3.769398610485848455e-01 4.862963763162940212e-01
1.764705882352941124e+00 4.411764705882352811e-01 8.152137816681190863e-01 3.740373110798838052e-01 3.860306738807007809e-01 4.856303669238581366e-01
1.911764705882353033e+00 4.411764705882352811e-01 8.322873189952715300e-01 3.911108484070362490e-01 3.942750271058559353e-01 4.833733440830959016e-01
2.058823529411764941e+00 4.411764705882352811e-01 8.618586815490765218e-01 4.206822109608412408e-01 4.020358833056987269e-01 4.795174488821206116e-01
2.205882352941176627e+00 4.411764705882352811e-01 9.012715991606587984e-01 4.600951285724235174e-01 4.097035107660493836e-01 4.737318326631387300e-01
2.352941176470588314e+00 4.411764705882352811e-01 9.533937332959725452e-01 5.122172627077372642e-01 4.176902355403948608e-01 4.659089368128662145e-01
2.500000000000000000e+00 4.411764705882352811e-01 1.016743222331225383e+00 5.755667517429901014e-01 4.257701964383941995e-01 4.561831875572845418e-01
2.647058823529411686e+00 4.411764705882352811e-01 1.087780530347170593e+00 6.466040597589353123e-01 4.343947548811891157e-01 4.441319826050663666e-01
2.794117647058823817e+00 4.411764705882352811e-01 1.169052098702129783e+00 7.278756281138945017e-01 4.439075946559396524e-01 4.293603211961158350e-01
2.941176470588235503e+00 4.411764705882352811e-01 1.258824106394825559e+00 8.176476358065902783e-01 4.540727782577207439e-01 4.120803912390826884e-01
3.088235294117647189e+00 4.411764705882352811e-01 1.354712641371704329e+00 9.135361707834690481e-01 4.650460922551685194e-01 3.917532506822334892e-01
3.235294117647058876e+00 4.411764705882352811e-01 1.457044525351884445e+00 1.015868054763649164e+00 4.765672423087707332e-01 3.690716590993404767e-01
3.382352941176470562e+00 4.411764705882352811e-01 1.563303613722665020e+00 1.122127143134429739e+00 4.880073639389295170e-01 3.441655102973741887e-01
3.529411764705882248e+00 4.411764705882352811e-01 1.674259323328315840e+00 1.233082852740080559e+00 4.993386183952820967e-01 3.169912644892031728e-01
3.676470588235294379e+00 4.411764705882352811e-01 1.785749012672769309e+00 1.344572542084534028e+00 5.103431870082242305e-01 2.881293155258515815e-01
3.823529411764706065e+00 4.411764705882352811e-01 1.899583092025092457e+00 1.458406621436857176e+00 5.200384536123150436e-01 2.584366207051931319e-01
3.970588235294117752e+00 4.411764705882352811e-01 2.012652142896694585e+00 1.571475672308459304e+00 5.282121917316454640e-01 2.283955161408550150e-01
4.117647058823529882e+00 4.411764705882352811e-01 2.124306057220908706e+00 1.683129586632673425e+00 5.343726756066395911e-01 1.990393104402664870e-01
4.264705882352941124e+00 4.411764705882352811e-01 2.233575793230414774e+00 1.792399322642179493e+00 5.383118581477177589e-01 1.708545836785534122e-01
4.411764705882353255e+00 4.411764705882352811e-01 2.340599339838687065e+00 1.899422869250451784e+00 5.400768605572383585e-01 1.446192872632912629e-01
4.558823529411764497e+00 4.411764705882352811e-01 2.442648865466467534e+00 2.001472394878232031e+00 5.392378555829966391e-01 1.210375524623726190e-01
4.705882352941176627e+00 4.411764705882352811e-01 2.538995284309613965e+00 2.097818813721378461e+00 5.364845750532207802e-01 1.000278686049569932e-01
4.852941176470588758e+00 4.411764705882352811e-01 2.630290464026318720e+00 2.189113993438083661e+00 5.319880100457697880e-01 8.192398361107727789e-02
5.000000000000000000e+00 4.411764705882352811e-01 2.713856640170709600e+00 2.272680169582474541e+00 5.266809089435979807e-01 6.657023529198009826e-02
0.000000000000000000e+00 5.882352941176470784e-01 1.494041481985843633e+00 9.058061878681965551e-01 1.619267789119222534e-01 3.014682464869977707e-01
1.470588235294117696e-01 5.882352941176470784e-01 1.397889898584125934e+00 8.096546044664788555e-01 1.921917280274721418e-01 3.440670389145116248e-01
2.941176470588235392e-01 5.882352941176470784e-01 1.306172431819788260e+00 7.179371377021411815e-01 2.219599164288323379e-01 3.818682524697066816e-01
4.411764705882352811e-01 5.882352941176470784e-01 1.221071648995931902e+00 6.328363548782848236e-01 2.499008801755099041e-01 4.137184617333886094e-01
5.882352941176470784e-01 5.882352941176470784e-01 1.144531259580795268e+00 5.562959654631481898e-01 2.749682441530760801e-01 4.389486306081595846e-01
7.352941176470588758e-01 5.882352941176470784e-01 1.074789786526475055e+00 4.865544924088279766e-01 2.969077138708741126e-01 4.582680525394645099e-01
8.823529411764705621e-01 5.882352941176470784e-01 1.013289768396016033e+00 4.250544742783689545e-01 3.160379467074295734e-01 4.719917697227556941e-01
1.029411764705882470e+00 5.882352941176470784e-01 9.633009206831816273e-01 3.750656265655345489e-01 3.321645588641937707e-01 4.817650481887570946e-01
1.176470588235294157e+00 5.882352941176470784e-01 9.241499750542523373e-01 3.359146809366052588e-01 3.460467373388318446e-01 4.880275988204743065e-01
1.323529411764705843e+00 5.882352941176470784e-01 8.945013023297498922e-01 3.062660082121028138e-01 3.576931490810326686e-01 4.920260092565967303e-01
1.470588235294117752e+00 5.882352941176470784e-01 8.756856857768009483e-01 2.874503916591538699e-01 3.677905178533746322e-01 4.938277799706572990e-01
1.617647058823529438e+00 5.882352941176470784e-01 8.725786223785541029e-01 2.843433282609070245e-01 3.765436979576886056e-01 4.940454681614167565e-01
1.764705882352941124e+00 5.882352941176470784e-01 8.784058966853034445e-01 2.901706025676563661e-01 3.847747789796825413e-01 4.921013442976479579e-01
1.911764705882353033e+00 5.882352941176470784e-01 8.965075208311206190e-01 3.082722267134735405e-01 3.920151729566986876e-01 4.890540348798484982e-01
2.058823529411764941e+00 5.882352941176470784e-01 9.280749599809149375e-01 3.398396658632678591e-01 3.992879969544254060e-01 4.839976854351148994e-01
2.205882352941176627e+00 5.882352941176470784e-01 9.699268828146183630e-01 3.816915886969712846e-01 4.063336362227369380e-01 4.774228848081534249e-01
2.352941176470588314e+00 5.882352941176470784e-01 1.023221895052756292e+00 4.349866009351092133e-01 4.138573024944557921e-01 4.685954708098914456e-01
2.500000000000000000e+00 5.882352941176470784e-01 1.087787821542008704e+00 4.995525274243616254e-01 4.215493941059447192e-01 4.578161864124983826e-01
2.647058823529411686e+00 5.882352941176470784e-01 1.160164554060427733e+00 5.719292599427806545e-01 4.299300967117682948e-01 4.445767908548305947e-01
2.794117647058823817e+00 5.882352941176470784e-01 1.242589717843259223e+00 6.543544237256121443e-01 4.389750207888297728e-01 4.290158930696232331e-01
2.941176470588235503e+00 5.882352941176470784e-01 1.333370949590510390e+00 7.451356554728633119e-01 4.486294402190103003e-01 4.106932667258663128e-01
3.088235294117647189e+00 5.882352941176470784e-01 1.429008722299031753e+00 8.407734281813846744e-01 4.590182536367802268e-01 3.898154267323860611e-01
3.235294117647058876e+00 5.882352941176470784e-01 1.531160562921637380e+00 9.429252688039903019e-01 4.696889330034693666e-01 3.664893250895360222e-01
3.382352941176470562e+00 5.882352941176470784e-01 1.637743051503026681e+00 1.049507757385379492e+00 4.803062859351219793e-01 3.405359995450423782e-01
3.529411764705882248e+00 5.882352941176470784e-01 1.748186325608846570e+00 1.159951031491199380e+00 4.908508400295029106e-01 3.128292644569133363e-01
3.676470588235294379e+00 5.882352941176470784e-01 1.860405947017181649e+00 1.272170652899534460e+00 5.005616775790657780e-01 2.835490476311652852e-01
3.823529411764706065e+00 5.882352941176470784e-01 1.974003027042298353e+00 1.385767732924651163e+00 5.090655527066313413e-01 2.536094150412534498e-01
3.970588235294117752e+00 5.882352941176470784e-01 2.086894355621781383e+00 1.498659061504134193e+00 5.158849360757502556e-01 2.235975091092436418e-01
4.117647058823529882e+00 5.882352941176470784e-01 2.197900658701271048e+00 1.609665364583623859e+00 5.207100161741916589e-01 1.942910583258551926e-01
4.264705882352941124e+00 5.882352941176470784e-01 2.306642545606920169e+00 1.718407251489272980e+00 5.232811651356292781e-01 1.665642079168095646e-01
4.411764705882353255e+00 5.882352941176470784e-01 2.411810917707686741e+00 1.823575623590039552e+00 5.235912149160159013e-01 1.409145862279194972e-01
4.558823529411764497e+00 5.882352941176470784e-01 2.512670309367814880e+00 1.924435015250167691e+00 5.218258256463023104e-01 1.177650963299813613e-01
4.705882352941176627e+00 5.882352941176470784e-01 2.607388185692289806e+00 2.019152891574642616e+00 5.183113482002144057e-01 9.720591906366171653e-02
4.852941176470588758e+00 5.882352941176470784e-01 2.697766628846510528e+00 2.109531334728863339e+00 5.135266365089942164e-01 7.972741188697246573e-02
5.000000000000000000e+00 5.882352941176470784e-01 2.780002800257540763e+00 2.191767506139893573e+00 5.076352126225631700e-01 6.494836883319714260e-02
0.000000000000000000e+00 7.352941176470588758e-01 1.534739819687052975e+00 7.994457020399940994e-01 1.785388029335798765e-01 3.258916415542363332e-01
1.470588235294117696e-01 7.352941176470588758e-01 1.439786614791214836e+00 7.044924971441559602e-01 2.075814930776612721e-01 3.671547909880680804e-01
2.941176470588235392e-01 7.352941176470588758e-01 1.350451078780269265e+00 6.151569611332103893e-01 2.350801748675970249e-01 4.034686382857223808e-01
4.411764705882352811e-01 7.352941176470588758e-01 1.267734972440492491e+00 5.324408547934336156e-01 2.603629482545608553e-01 4.332701350608690327e-01
5.882352941176470784e-01 7.352941176470588758e-01 1.193367125344094060e+00 4.580730076970351838e-01 2.826235451896653150e-01 4.566472215096057385e-01
7.352941176470588758e-01 7.352941176470588758e-01 1.124799338441814900e+00 3.895052207947560241e-01 3.017568263878983026e-01 4.740885796590381118e-01
8.823529411764705621e-01 7.352941176470588758e-01 1.065830381887211908e+00 3.305362642401530326e-01 3.179758311993249320e-01 4.866474670515001377e-01
1.029411764705882470e+00 7.352941176470588758e-01 1.018104821075917377e+00 2.828107034288585009e-01 3.316318779913324244e-01 4.952490247836818793e-01
1.176470588235294157e+00 7.352941176470588758e-01 9.795214981147001287e-01 2.442273804676412530e-01 3.432998719964582834e-01 5.005245982346466782e-01
1.323529411764705843e+00 7.352941176470588758e-01 9.529324554773302980e-01 2.176383378302714222e-01 3.528998371596395178e-01 5.037315807881185270e-01
1.470588235294117752e+00 7.352941176470588758e-01 9.385957118781823594e-01 2.033015942311234836e-01 3.614080128959217819e-01 5.046247393103487910e-01
1.617647058823529438e+00 7.352941176470588758e-01 9.344382550754896100e-01 1.991441374284307342e-01 3.688634345280760729e-01 5.038280795635649012e-01
1.764705882352941124e+00 7.352941176470588758e-01 9.430677203052605373e-01 2.077736026582016615e-01 3.758923373166008775e-01 5.011658672784421453e-01
1.911764705882353033e+00 7.352941176470588758e-01 9.623957066829951223e-01 2.271015890359362466e-01 3.821794302254705178e-01 4.973407166695391068e-01
2.058823529411764941e+00 7.352941176470588758e-01 9.960125359643020593e-01 2.607184183172431835e-01 3.884788027257176646e-01 4.914380607324345118e-01
2.205882352941176627e+00 7.352941176470588758e-01 1.038510354507691691e+00 3.032162368606328151e-01 3.948615326168377071e-01 4.837279211839486948e-01
2.352941176470588314e+00 7.352941176470588758e-01 1.092858060303801837e+00 3.575639426567429613e-01 4.017280887483203888e-01 4.737711579651333604e-01
2.500000000000000000e+00 7.352941176470588758e-01 1.157855648075495125e+00 4.225615304284362495e-01 4.091141675712108294e-01 4.616942091190772701e-01
